Video Identifier,Video Name,Frame Number,Timestamp,EAR,MAR,Subject,State
Video_001,1-Subject_1.avi,0,0.0,0.38190820264118275,0.011138495221762263,1,0
Video_001,1-Subject_1.avi,3,0.1,0.38573343558010764,0.010739388918443029,1,0
Video_001,1-Subject_1.avi,6,0.2,0.04279316920011106,0.008965221813574047,1,0
Video_001,1-Subject_1.avi,9,0.3,0.04667068526894865,0.007909402072668834,1,0
Video_001,1-Subject_1.avi,12,0.4,0.20127523608597736,0.00514947058945288,1,0
Video_001,1-Subject_1.avi,15,0.5,0.30443132195625977,0.004468354028700508,1,0
Video_001,1-Subject_1.avi,18,0.6,0.3304420837156786,0.005138329791397793,1,0
Video_001,1-Subject_1.avi,21,0.7,0.3438338913056405,0.00577202551943637,1,0
Video_001,1-Subject_1.avi,24,0.8,0.35270405315525777,0.007886255096959291,1,0
Video_001,1-Subject_1.avi,27,0.9,0.3782959422544808,0.008213080500723568,1,0
Video_001,1-Subject_1.avi,30,1.001,0.05601655552601627,0.00844824358766502,1,0
Video_001,1-Subject_1.avi,33,1.101,0.09910585506818254,0.00825383569432895,1,0
Video_001,1-Subject_1.avi,36,1.201,0.3162307682309641,0.006150363240489394,1,0
Video_001,1-Subject_1.avi,39,1.301,0.3847924032253756,0.005866483342783173,1,0
Video_001,1-Subject_1.avi,42,1.401,0.39481085810372996,0.006122113844005657,1,0
Video_001,1-Subject_1.avi,45,1.501,0.3989114102542084,0.006451845762347917,1,0
Video_001,1-Subject_1.avi,48,1.601,0.3967916703992768,0.006185273675385485,1,0
Video_001,1-Subject_1.avi,51,1.701,0.4009906305798879,0.006092703489166889,1,0
Video_001,1-Subject_1.avi,54,1.801,0.403307761522032,0.006276363721479392,1,0
Video_001,1-Subject_1.avi,57,1.901,0.4060466627305767,0.006316098195067629,1,0
Video_001,1-Subject_1.avi,60,2.002,0.40760147352543274,0.006536764994407796,1,0
Video_001,1-Subject_1.avi,63,2.102,0.41056520512688927,0.006750707489013729,1,0
Video_001,1-Subject_1.avi,66,2.202,0.412471528232109,0.007043804547037944,1,0
Video_001,1-Subject_1.avi,69,2.302,0.41357786327562834,0.007288704137242694,1,0
Video_001,1-Subject_1.avi,72,2.402,0.4122927597825502,0.0072714539364143495,1,0
Video_001,1-Subject_1.avi,75,2.502,0.4119184858640691,0.0072888657504633515,1,0
Video_001,1-Subject_1.avi,78,2.602,0.4098417894800048,0.007334081383907346,1,0
Video_001,1-Subject_1.avi,81,2.702,0.4083303748066708,0.0076585506604488545,1,0
Video_001,1-Subject_1.avi,84,2.802,0.4084362331058943,0.0076218847208187075,1,0
Video_001,1-Subject_1.avi,87,2.902,0.40819029192642603,0.007543758590666323,1,0
Video_001,1-Subject_1.avi,90,3.003,0.4081574308488056,0.007282392395133861,1,0
Video_001,1-Subject_1.avi,93,3.103,0.40821118646733306,0.007339961928000406,1,0
Video_001,1-Subject_1.avi,96,3.203,0.4063832518292947,0.007591278315112409,1,0
Video_001,1-Subject_1.avi,99,3.303,0.40783612558819765,0.007823742836779045,1,0
